hotel_name,hotel_address,review_count,non_review_scoring_count,average_hotel_score,review_date,reviewer_nationality,positive_comments,negative_comments,total_reviewer_reviews,reviewer_score,tags
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-08-03, Russia , Only the park outside of the hotel was beautiful , I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer ,7,2.9,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 6 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-08-03, Ireland , No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam ,No Negative,7,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-31, Australia , Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back , Rooms are nice but for elderly a bit difficult as most rooms are two story with narrow steps So ask for single level Inside the rooms are very very basic just tea coffee and boiler and no bar empty fridge ,9,7.1,"[' Leisure trip ', ' Family with young children ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-31, United Kingdom , Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area The building also has quite some character , My room was dirty and I was afraid to walk barefoot on the floor which looked as if it was not cleaned in weeks White furniture which looked nice in pictures was dirty too and the door looked like it was attacked by an angry dog My shower drain was clogged and the staff did not respond to my request to clean it On a day with heavy rainfall a pretty common occurrence in Amsterdam the roof in my room was leaking luckily not on the bed you could also see signs of earlier water damage I also saw insects running on the floor Overall the second floor of the property looked dirty and badly kept On top of all of this a repairman who came to fix something in a room next door at midnight was very noisy as were many of the guests I understand the challenges of running a hotel in an old building but this negligence is inconsistent with prices demanded by the hotel On the last night after I complained about water damage the night shift manager offered to move me to a different room but that offer came pretty late around midnight when I was already in bed and ready to sleep ,1,3.8,"[' Leisure trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 3 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-24, New Zealand , Amazing location and building Romantic setting , You When I booked with your company on line you showed me pictures of a room I thought I was getting and paying for and then when we arrived that s room was booked and the staff told me we could only book the villa suite theough them directly Which was completely false advertising After being there we realised that you have grouped lots of rooms on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present Please make your website more clear through pricing and photos as again I didn t really know what I was paying for and how much it had wnded up being Your photos told me I was getting something I wasn t Not happy and won t be using you again ,3,6.7,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-24, Poland , Good restaurant with modern design great chill out place Great park nearby the hotel and awesome main stairs , Backyard of the hotel is total mess shouldn t happen in hotel with 4 stars ,1,6.7,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 1 night ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-17, United Kingdom , The room is spacious and bright The hotel is located in a quiet and beautiful park , Cleaner did not change our sheet and duvet everyday but just made bed They also didn t clean the floor and changed the body gel when we run out of it ,6,4.6,"[' Leisure trip ', ' Group ', ' Duplex Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-17, United Kingdom , Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast , Apart from the price for the brekfast Everything very good,1,10.0,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-09, Belgium ,No Positive, Even though the pictures show very clean rooms the actual room was quit dirty and outlived Also check in is at 15 o clock but our room was not ready at that time,3,6.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-08, Norway , The room was big enough and the bed is good The breakfast food and service on the hotel is good outside the hotel there is a big park which is very good for walk in the morning and evening Many people are having picnics and do some bicycling , The aircondition makes so much noise and its hard to sleep at night ,1,7.9,"[' Leisure trip ', ' Couple ', ' Large King Room ', ' Stayed 7 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-07, United Kingdom , Rooms were stunningly decorated and really spacious in the top of the building Pictures are of room 300 The true beauty of the building has been kept but modernised brilliantly Also the bath was lovely and big and inviting Great more for couples Restaurant menu was a bit pricey but there were loads of little eatery places nearby within walking distance and the tram stop into the centre was about a 6 minute walk away and only about 3 or 4 stops from the centre of Amsterdam Would recommend this hotel to anyone it s unbelievably well priced too , Nothing all great ,2,10.0,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-06, France , Style location rooms, 6 30 AM started big noise workers loading wood down the windows Stupid room numbering system it took 20 Minutes with a night guard finally to find our rooms The check in staff pointed us in the wrong direction No late dinner bar closes at 1 am Ugly view on trash lorry from windows No information about the computerized telephone Huge price difference between booking Com price 166 euros and hotel price 260 ,12,5.8,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-06, United Kingdom , Comfy bed good location , The floor in my room was filfy dirty Very basic rooms I had a 20yr old tv in my room Fridge did not work Overpriced breakfast ,7,4.6,"[' Leisure trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-04, Italy , This hotel is being renovated with great care and with an appreciation for its unique structure and location My spacious and comfortable room had a large double paned glass window onto the lush greenery of the park The breakfast selection was spectacular All considered this was a great hotel for the price and I plan to return ,No Negative,6,9.2,"[' Business trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 1 night ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-04, Canada , It was very good very historic building that s why I chose it , The staff in the restaurant could of been more pleasant we only visited once but that wouldn t stop us from booking again it might of just been an off night for him ,1,8.8,"[' Leisure trip ', ' Family with young children ', ' Large King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-03, Italy , This hotel is awesome I took it sincirely because a bit cheaper but the structure seem in an hold church close to one awesome park Arrive in the city are like 10 minutes by tram and is super easy The hotel inside is awesome and really cool and the room is incredible nice with two floor and up one super big comfortable room I ll come back for sure there The staff very gentle one Spanish man really really good ,No Negative,26,10.0,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-07-03, United Kingdom , Great onsite cafe Amazing building Park location Amazing Bobby Gin and Tonic , Very steep steps in room up to the bed not safe for children I asked to move rooms and was put in another identical one Room decoration was minamilist which I like but felt prison cell sparse,8,6.3,"[' Leisure trip ', ' Family with young children ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-06-30, Ireland , We loved the location of this hotel The fact that it is set in a Park away from the busy centre of dam square was great The tram system was brilliant and easy to handle The hotel is lovely and the bed was comfy Staff were very friendly and helpful and familiarized themselves with us when they realized we travelled from Ireland , We did not like the fact that breakfast was not included although you could pay extra for this The room we stayed in was lacking in space a bit and the bathroom was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment ,2,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-06-29, Netherlands , Public areas are lovely and the room was nice but the window was broken and the drains in the bathroom smelt Its an old building and clearly has old building issues ,No Negative,4,7.1,"[' Business trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-06-20, Australia , I liked the hotels history And for such an enormous hotel I can t imagine how many girls were orphaned I liked their breakfast It was a quirky mix of fruits pastries meats and fish breads and the regular bacon and eggs Juices tea and coffee , We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our bed was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the hotel was lovely ,16,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-06-19, United Kingdom , Friendly staff OostPark a few yards away Good continental breakfast selection Quiet and relaxing area , Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit ,1,6.3,"[' Leisure trip ', ' Travelers with friends ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-06-12, France , The breakfast was the only positive element of this hotel original in taste and a good selection of selection of health food dishes on the buffet We did not try the restaurant but the whole set up with its view and terrace on the park is exceptional We had a wedding in the hotel s chapel so the convenience of just walking upstairs after the party was our reason of selecting this location , Our room was an overrated disaster room 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other rooms We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathroom is the worst design disaster one can imagine We found the whole hotel dirty dusty and dated To spend more then 243 Euros for a dirty attic room is daylight robbery ,12,3.8,"[' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-06-10, Germany , The location is good You need 15min to 20min walk to the center depends on your speed The hotel locates in a beautiful park and have a nice interior design The bed was really comfortable , Sadly I cannot say that the rooms are clean enough for me When we got in our room we immediately notice there s something wet and sticky like juice or something just next to our bed We called the front desk and they said they will send a cleaning lady to us We waited at least half an hour and no one showed up We had to go to the front desk and complain again When we got back later in the evening the juice has been removed but there s still some hair on the spot We were however no interest to complain anymore Also on the wall in the room on the curtain and in the bathroom there s a lot of stains which I had to ignore the whole time I didn t feel comfortable at all The staff at front desk are very friendly However I guess they pay really bad to their cleaning ladies First you will not be greeted by the cleaning staffs if you run into one at the hallway What more annoying is that I got woke up at 7 in the morning by the cleaning ladies because they closed the doors so loudly when they were cleaning other rooms And they didn t close it loudly just once but for at least on hour They kept open and close the door I was really annoyed I was in my holiday and I just wanted to have a good sleep at least The parking place was small but ok When we arrived the ticket machine was broken Someone told us we don t need a ticket to get in for now and we just have to inform the front desk when we check in We did so and paid for 2 days when we checked out When we drove out the ticket machine was broken again So we didn t actually have to plug in the ticket which we have paid with a lot of money Of course we should pay for it because we parked there but still I was not so happy because I have the feeling that I paid for nothing ,21,5.4,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-29, Ireland , Bed was extremely comfy and the staff where well spoken they also gave us all the help with easiest way to city centre and all the relevant transportation tickets and unique locations to visit will definitely be returning as this city is beautiful and the people are so friendly , Transportation was a bit of a pain but on route to your destination there is amazing views at every corner ,1,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-27, United Kingdom , Lovely hotel with extremely comfortable huge double bed We stayed in the split level room which we really liked If you have difficulty getting up stairs request if you can stay in a room all on one level The Oosterpark is beautiful the shops and restaurants are great with lots of variety to choose from You can get the Metro close by 8min walk or the Tram is a short walk away and runs from the station and you can get off within a 5 mins walk to the Hotel All in all a beautiful hotel with friendly staff shampoo and soap in the shower Tea and coffee facilities in your room and in a location that is more relaxing than the central Amsterdam We will be returning , Nothing ,2,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-25, United States of America , Great location in the park near museums and restaurants Perfect launch pad for many walking and day trips Beautiful old building former orphanage and spacious rooms Big breakfast spread perfect for starting the day off right Friendly and helpful staff I m, The bathroom in our room was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv ,4,8.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-25, United Kingdom , The Hotel itself is in a lovely location a 5min if that tram ride into the center Train right outside the Hotel easy access to everywhere The Staff are super friendly and always on hand to help and advice Wonderful bright comfortable and clean rooms Beds are amazing felt as if we were sleeping on clouds Bathroom was clean spacious and airy We had Shampoo Body wash there alongside hair dryer towels safe wardrobe hangers clothes holders desk chair room service hair dryer fridge kettle and cups teas and coffees It literally has everything you need in the room Perfect Hotel couldn t fault it at all The lovely smell from the restaurant downstairs is great Tennis court outside the Hotel little pond as well and a huge park to walk around , Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all ,2,9.6,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-22, France , Great hotel original concept style, Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you ,25,8.3,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-21, United States of America , The hotel itself is beautiful restaurant is very good and the adjacent park is gorgeous with beautiful birds and rabbits , We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom ,4,8.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-16, Hungary , The hotel is located in a beautiful old monastery building which has a special mood combined with all modern features There is a big park just opposite to the hotel Public transportation and a nice bakery for breakfast are also close Good wifi all around the hotel , There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical ,2,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-16, Ireland , The staff were so friendly and helpful plus the bar restaurant area is beautiful Located in its own park and the old building is simply stunning , Little bit on the pricey side,5,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-11, United Kingdom , Friendly staff The bar restaurant area is lovely and overlooks the park Very modern , Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the room well there was one but it was very ineffective ,14,7.1,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 4 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-11, United States of America ,No Positive, Our bathroom had an urine order Shower was very slippery No shower chair handles or bars Bed was uncomfortable and mattress pad was too big and you felt like you were falling off Very expensive and breakfast was not included Construction and remodeling were going on and we were inconvenienced by it There was a park and that was nice Not close to town or museums ,1,4.2,"[' Leisure trip ', ' Group ', ' Duplex Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-09, Netherlands , The hotel is going through renovations and unfortunately it means that the rooms can be less than perfect However the staff did recognise those shortcomings and did everything they could to make the stay as agreeable as possible , Please see above,1,6.7,"[' Leisure trip ', ' Family with young children ', ' Duplex Double Room ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-05-02, United States of America , The room was very big spacious The bath tub was large enough for two people I love the axcess to the from multiple trams and trains The park location was amazing, The rooms were cold Although nice the room decor was basic and unwelcoming It could use some design help an area rug or two ,6,7.9,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-27, Israel , Very nice hotel manager he upgraded us because we had troubles with two different rooms They do everything to make you feel welcome and comfortable The park directly in front of the hotel is amazing rent a bike directly and make a tour Also the bathtub and bed is great , Construction on site but not mentioned on booking com The breakfast can be improved it is quite expensive for its quality ,2,8.3,"[' Leisure trip ', ' Couple ', ' Large King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-26, Ireland , the building meeting rooms modern style of my room park, not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation,5,7.1,"[' Business trip ', ' Group ', ' Duplex Double Room ', ' Stayed 1 night ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-20, Russia , Very nice hotel located in a park Ca 30 minutes by walk to the city center Not typical for Amsterdam since most city hotels are located in small buildings But pay attention to the fact that most of the rooms are two storeyed so you will have to use stairs to get to bed , The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more ,85,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-20, United Kingdom , The location was amazing the room was fantastic east access to public transport set on the lovely Oosterpark lots of places to eat and drink near by or nice walk to the main areas of Amsterdam I would definitely like to stay here again I only had breakfast at the restaurant on site and this was only once and fairly standard as A brit and a connoisseur of cooked breakfasts I was a little disappointed in the hot food but generally lots on offer for everyone just no where does a cooked breakfast like the English but very helpful staff and a nice place to sit with a coffee and start the day and this is the least of any worries due to their being so many good places to eat around and I personally prefer to wander and explore for my dining experiences But not qualified to give a true opinion of the restaurant it was certainly busy in the evenings which suggests its pretty good I will definitely be staying there again if possible the next time i take a trip to Amsterdam, the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that,2,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-19, Canada , Location on the park with easy access to tram lines was very good , Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad Breakfast was overpriced for a good but ordinary buffet ,1,6.3,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 3 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-18, Germany , The hotel is nicely localted directly within the park which is accessed when walking out of the building The building itself has great history and wonderful architecture The staff is very helpful and friendly when in need of anything , Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard rooms are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the room being somewhat stuffy ,26,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-16, United Kingdom , Nice restaurant although felt breakfast was rather expensive at 17 50 per head Location as expected but with hind sight a little further from the main tourist areas than we might have liked but was quite nice to be out of the noisy city centre Staff very courteous , Hotel undergoing the building of a new wing not that this caused us any issues except signs of building work meant reception was a temporary pop up affair Rooms that we had were tired and in need of some love First room had a broken window mechanism and signs of damp with chunks of plaster missing around the window area Shower did not drain properly and overflowed after only a couple of minutes We requested another room which we duly transferred too which was better although bathroom lights would work for no longer than 5 minutes before they went out guess a problem with a transformer overloading Fault reported but not rectified during our stay The building is magnificent the rooms we had just needed some care and attention and then the hotel would be first rate ,8,6.7,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-14, Switzerland , Love the design of the renovated product The park nearby for a walk , Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again ,4,2.9,"[' Business trip ', ' Solo traveler ', ' Large King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-10, United Kingdom , Staff were amazing very very friendly and proud of the place they work in The cafe is very cool Will be back, Water pressure in my shower was no existent Feel bad even saying that ,8,9.6,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-05, United States of America , The brunch to purchase in the morning was good , The service was awful They refused to take ownership of a mistake on their part even after being asked about it in the morning ,1,3.3,"[' Leisure trip ', ' Group ', ' Large King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,1403,194,7.7,2017-04-05, India , The location of the hotel is super opening out to Oosterpark The staff was very helpful and friendly The bed was very comfortable The room was spacious enough for 2 people , Bathroom lighting could have been brighter The airconditioning of our room 303 could not be turned down lower than 23 degrees celcius The refrigerator in our room was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either ,1,7.9,"[' Leisure trip ', ' Family with young children ', ' Large King Room ', ' Stayed 2 nights ']"
